"date","time","group","subject","blockcode","blocknum","trialcode","trialnum","response","correct","latency","stimulusnumber1","stimulusitem1","expressions.d","expressions.latdiff","expressions.percentcorrect"
"121516","10:27:57","19","19","practice_compatibletest","1","attributeA","2","18","1","1585","1","Joy","","0","0"
"121516","10:27:57","19","19","practice_compatibletest","1","attributeB","3","23","1","779","5","Terrible","","0","0"
"121516","10:27:57","19","19","practice_compatibletest","1","attributeA","4","18","1","891","2","Happy","","0","0"
"121516","10:27:57","19","19","practice_compatibletest","1","attributeB","5","23","1","738","6","Horrible","","0","0"
"121516","10:27:57","19","19","practice_compatibletest","1","attributeA","6","18","1","725","7","Peace","","0","0"
"121516","10:27:57","19","19","practice_compatibletest","1","attributeB","7","23","1","769","8","Hurt","","0","0"
"121516","10:27:57","19","19","practice_compatibletest","1","attributeB","8","23","1","912","4","Nasty","","0","0"
"121516","10:27:57","19","19","practice_compatibletest","1","attributeA","9","18","1","608","4","Love","","0","0"
"121516","10:27:57","19","19","practice_compatibletest","1","attributeA","10","18","1","1268","3","Laughter","","0","0"
"121516","10:27:57","19","19","practice_compatibletest","1","attributeB","11","23","1","623","1","Evil","","0","0"
"121516","10:27:57","19","19","compatibletest","3","attributeA","1","18","1","1703","5","Glorious","","-1703","100"
"121516","10:27:57","19","19","compatibletest","3","attributeB","2","23","1","745","3","Awful","-1.1136618522961241329","-1224","100"
"121516","10:27:57","19","19","compatibletest","3","attributeB","3","23","0","1807","2","Agony","-1.3541056646879445768","-1418.3333333333332575421","66.6666666666666571928"
"121516","10:27:57","19","19","compatibletest","3","attributeB","4","23","1","784","7","Failure","-1.3599452389080457504","-1259.75","75"
"121516","10:27:57","19","19","compatibletest","3","attributeB","5","23","1","761","4","Nasty","-1.3698680188718559414","-1160","80"
"121516","10:27:57","19","19","compatibletest","3","attributeA","6","18","1","637","6","Pleasure","-1.3536517410446720078","-1072.8333333333332575421","83.3333333333333428072"
"121516","10:27:57","19","19","compatibletest","3","targetAleft","7","18","1","606","4","bm14_nc.jpg","-1.3420076372388303199","-1006.1428571428571103752","85.7142857142857081953"
"121516","10:27:57","19","19","compatibletest","3","attributeA","8","18","1","651","8","Wonderful","-1.3483656794198259909","-961.75","87.5"
"121516","10:27:57","19","19","compatibletest","3","targetAleft","9","18","1","976","6","bm56_nc.jpg","-1.3978305503704546719","-963.3333333333333712289","88.8888888888888857309"
"121516","10:27:57","19","19","compatibletest","3","attributeA","10","18","1","1293","7","Peace","-1.4429051356962019348","-996.2999999999999545253","90"
"121516","10:27:57","19","19","compatibletest","3","targetAleft","11","18","1","530","3","bf56_nc.jpg","-1.4205263568189145928","-953.9090909090908780854","90.9090909090909065071"
"121516","10:27:57","19","19","compatibletest","3","attributeB","12","23","1","617","1","Evil","-1.4190145298000769181","-925.8333333333333712289","91.6666666666666571928"
"121516","10:27:57","19","19","compatibletest","3","targetAleft","13","18","1","541","5","bm23_nc.jpg","-1.4085411475207505472","-896.2307692307692832401","92.3076923076923065992"
"121516","10:27:57","19","19","compatibletest","3","attributeB","14","23","1","1039","8","Hurt","-1.4412009104854297536","-906.4285714285714448124","92.8571428571428612031"
"121516","10:27:57","19","19","compatibletest","3","targetAleft","15","18","1","578","1","bf14_nc.jpg","-1.4374209389947145699","-884.5333333333333030168","93.3333333333333285964"
"121516","10:27:57","19","19","compatibletest","3","attributeB","16","23","1","810","3","Awful","-1.4571373959853821667","-879.875","93.75"
"121516","10:27:57","19","19","compatibletest","3","targetAleft","17","18","1","605","2","bf23_nc.jpg","-1.4580889591122760951","-863.7058823529412165954","94.1176470588235218884"
"121516","10:27:57","19","19","compatibletest","3","attributeB","18","23","1","652","6","Horrible","-1.4646029982430872618","-851.9444444444444570763","94.4444444444444428655"
"121516","10:27:57","19","19","compatibletest","3","attributeB","19","23","1","553","7","Failure","-1.4615582019101593936","-836.2105263157894796677","94.7368421052631504153"
"121516","10:27:57","19","19","compatibletest","3","targetAleft","20","18","1","552","4","bm14_nc.jpg","-1.4596190798651600407","-822","95"
"121516","10:27:57","19","19","compatibletest","3","attributeA","21","18","1","730","6","Pleasure","-1.4726355367852375089","-817.6190476190475919793","95.2380952380952265912"
"121516","10:27:57","19","19","compatibletest","3","attributeB","22","23","1","1048","2","Agony","-1.4909995818178185534","-828.0909090909091219146","95.4545454545454532536"
"121516","10:27:57","19","19","compatibletest","3","attributeB","23","23","1","1285","5","Terrible","-1.4989613084348403227","-847.9565217391303804106","95.6521739130434838216"
"121516","10:27:57","19","19","compatibletest","3","attributeA","24","18","1","568","1","Joy","-1.497071508965278408","-836.2916666666666287711","95.8333333333333428072"
"121516","10:27:57","19","19","compatibletest","3","attributeA","25","18","1","574","3","Laughter","-1.4963971637865332021","-825.7999999999999545253","96"
"121516","10:27:57","19","19","compatibletest","3","targetAleft","26","18","1","675","3","bf56_nc.jpg","-1.5031872790613829416","-820","96.153846153846160405"
"121516","10:27:57","19","19","compatibletest","3","attributeA","27","18","1","780","2","Happy","-1.5146648990695201764","-818.5185185185184764123","96.2962962962962905067"
"121516","10:27:57","19","19","compatibletest","3","attributeA","28","18","1","493","4","Love","-1.5080120939811496594","-806.8928571428571103752","96.4285714285714306016"
"121516","10:27:57","19","19","compatibletest","3","attributeB","29","23","1","588","3","Awful","-1.5095374833283166094","-799.3448275862068612696","96.5517241379310320326"
"121516","10:27:57","19","19","compatibletest","3","targetAleft","30","18","1","508","2","bf23_nc.jpg","-1.505554506837249118","-789.6333333333333257542","96.6666666666666714036"
"121516","10:27:57","19","19","compatibletest","3","targetAleft","31","18","1","453","1","bf14_nc.jpg","-1.497748565113956154","-778.7741935483870747703","96.774193548387103192"
"121516","10:27:57","19","19","compatibletest","3","targetAleft","32","18","1","443","5","bm23_nc.jpg","-1.4900101472336069186","-768.28125","96.875"
"121516","10:27:57","19","19","compatibletest","3","attributeB","33","23","1","706","6","Horrible","-1.4985922794703370187","-766.3939393939393767141","96.9696969696969688357"
"121516","10:27:57","19","19","compatibletest","3","targetAleft","34","18","1","665","6","bm56_nc.jpg","-1.5053275553900780093","-763.4117647058823195039","97.0588235294117680496"
"121516","10:27:57","19","19","compatibletest","3","attributeA","35","18","1","594","8","Wonderful","-1.5086104642608904047","-758.5714285714285551876","97.1428571428571387969"
"121516","10:27:57","19","19","compatibletest","3","attributeB","36","23","1","1077","2","Agony","-1.5167117716680671435","-767.4166666666666287711","97.2222222222222143273"
"121516","10:27:57","19","19","compatibletest","3","targetAleft","37","18","1","573","1","bf14_nc.jpg","-1.5184305633280805736","-762.1621621621621898157","97.2972972972973053629"
"121516","10:27:57","19","19","compatibletest","3","attributeB","38","23","1","795","4","Nasty","-1.5278047498872724397","-763.0263157894736423259","97.3684210526315752077"
"121516","10:27:57","19","19","compatibletest","3","attributeA","39","18","1","651","5","Glorious","-1.5329528683332795946","-760.1538461538461888267","97.4358974358974307961"
"121516","10:27:57","19","19","compatibletest","3","targetAleft","40","18","1","608","2","bf23_nc.jpg","-1.5362583625057477654","-756.3500000000000227374","97.5"
"121516","10:27:57","19","19","compatibletest","3","attributeA","41","18","1","580","1","Joy","-1.5383118384891998343","-752.0487804878048336832","97.5609756097560989474"
"121516","10:27:57","19","19","compatibletest","3","attributeB","42","23","1","640","5","Terrible","-1.5429183602651181939","-749.3809523809524080207","97.619047619047620401"
"121516","10:27:57","19","19","compatibletest","3","attributeA","43","18","1","601","6","Pleasure","-1.5459475481875801783","-745.930232558139550747","97.6744186046511515542"
"121516","10:27:57","19","19","compatibletest","3","attributeA","44","18","1","1056","5","Glorious","-1.5515554337992787381","-752.9772727272727479431","97.7272727272727337322"
"121516","10:27:57","19","19","compatibletest","3","targetAleft","45","18","1","586","6","bm56_nc.jpg","-1.5536267444795368586","-749.2666666666666515084","97.7777777777777714618"
"121516","10:27:57","19","19","compatibletest","3","targetAleft","46","18","1","406","3","bf56_nc.jpg","-1.5459216771073793772","-741.804347826086996065","97.8260869565217348054"
"121516","10:27:57","19","19","compatibletest","3","attributeB","47","23","1","677","8","Hurt","-1.5513153847089211634","-740.4255319148936678175","97.8723404255319167078"
"121516","10:27:57","19","19","compatibletest","3","attributeA","48","18","1","717","2","Happy","-1.5575014616655566968","-739.9375","97.9166666666666571928"
"121516","10:27:57","19","19","compatibletest","3","attributeB","49","23","1","608","1","Evil","-1.5605364685349216725","-737.244897959183617786","97.9591836734693828248"
"121516","10:27:57","19","19","compatibletest","3","targetAleft","50","18","1","564","5","bm23_nc.jpg","-1.5619103622850818436","-733.7799999999999727152","98"
"121516","10:27:57","19","19","compatibletest","3","attributeB","51","23","1","642","7","Failure","-1.5660093106556420839","-731.9803921568627629313","98.0392156862745025592"
"121516","10:27:57","19","19","compatibletest","3","attributeA","52","18","1","870","8","Wonderful","-1.5727638681926654485","-734.63461538461535838","98.0769230769230659917"
