"script.startdate","script.starttime","script.subjectid","script.groupid","script.elapsedtime","values.completed","expressions.m1","expressions.sd1","expressions.m2","expressions.sd2","expressions.d","expressions.latdiff","expressions.percentcorrect"
"121516","10:27:57","19","19","155872","1","719.0571428571428214127","252.2190148858314557856","684.7999999999999545253","223.964774663015191436","-0.143773240922536516","-34.2571428571428668874","97.8571428571428469922"
"121416","22:26:49","22","22","145258","1","568.2714285714286006623","128.7637901919489422653","569.9142857142857110375","107.1593345507819918794","0.0139188444916338687","1.6428571428571103752","98.5714285714285836093"
"121416","21:25:31","21","21","129440","1","492.2857142857142775938","160.7855843687074752779","599.0714285714285551876","732.2798689150340578635","0.2011275367361027022","106.7857142857142918047","81.4285714285714306016"
"121416","22:24:55","6","6","124348","1","493","94.5058851016198815387","511.4428571428571217439","100.5190350009169435452","0.1888731784643580547","18.4428571428571217439","92.8571428571428612031"
"121516","03:24:20","20","20","143976","1","601.4428571428571785873","173.5095232498351265349","585.4428571428571785873","143.9342277040518069953","-0.1006051492003560838","-16","92.8571428571428612031"
"121516","03:23:21","5","5","200415","1","835.3999999999999772626","313.8093855109860896846","833.9571428571429123622","331.5329102825449467673","-0.0044860719312486922","-1.4428571428570649005","97.8571428571428469922"
"121416","22:23:58","16","16","144921","1","612.1285714285713766003","222.3968851718961730057","670.4142857142857110375","262.6745102663850843783","0.2386306162987628099","58.2857142857143344372","87.8571428571428612031"
"121516","03:24:03","11","11","137306","1","531.7714285714286006623","115.4212412858160377027","584.7857142857143344372","324.0837203007504854213","0.2174139177751476526","53.0142857142857337749","100"
"121416","21:23:49","17","17","133610","1","581.9714285714285324502","168.9065406125463653098","565.1285714285713766003","173.5280891457269660805","-0.0985971132026142588","-16.8428571428571558499","91.4285714285714306016"
"121416","20:23:18","1","1","155242","1","656.0857142857142889625","263.3266964595936769911","632.5714285714285551876","180.0035081323656527275","-0.1044879678543855078","-23.5142857142857337749","95"
"121516","14:23:01","15","15","163617","1","700","237.4673738078315636812","655.7285714285713993377","258.5787756754480142263","-0.178263253633462404","-44.2714285714285722406","95.7142857142857081953"
"121416","22:23:03","7","7","150987","1","650.5285714285714675498","114.814244612964046155","612.4142857142857110375","128.7038497962705321243","-0.3098386590787705064","-38.1142857142857565123","98.5714285714285836093"
"121516","03:22:33","3","3","167128","1","674.6857142857143116998","67.5186593333874895961","657.9428571428571785873","81.7386938889711558431","-0.2227407976070090445","-16.7428571428571331126","100"
"121416","21:24:06","18","18","23036","0","","0","1484","1273.3815872183274677809","0.966906364006448249","1484","50"
"121516","14:26:10","10","10","138814","1","666.2285714285713993377","377.4367466511009183705","593.8714285714286233997","223.2836579901579341367","-0.2325844010166434328","-72.357142857142775938","55.7142857142857153008"
"121516","16:20:59","9","9","128559","1","534.6142857142857565123","139.7349761551365645573","521.7428571428571331126","146.6372518969594693772","-0.090099684894728943","-12.8714285714286233997","91.4285714285714306016"
