"","date","time","group","subject","build","blocknum","trialnum","blockcode","trialcode","pretrialpause","posttrialpause","windowcenter","trialduration","trialtimeout","blocktimeout","response","correct","latency","inwindow"
"1","122116","13:15:23","14","14","4.0.9.0","1","1","demographics","age","0","0","0","0","0","0","43","1","3326","0"
"2","122116","13:15:23","14","14","4.0.9.0","1","2","demographics","gender","0","0","0","0","0","0","female","1","2782","0"
"3","122116","18:11:33","12","12","4.0.9.0","1","1","demographics","age","0","0","0","0","0","0","25","1","5526","0"
"4","122116","18:11:33","12","12","4.0.9.0","1","2","demographics","gender","0","0","0","0","0","0","male","1","3918","0"
"5","122116","13:01:12","10","10","4.0.9.0","1","1","demographics","age","0","0","0","0","0","0","25","1","2895","0"
"6","122116","13:01:12","10","10","4.0.9.0","1","2","demographics","gender","0","0","0","0","0","0","Male","1","3381","0"
"7","122116","17:57:33","13","13","4.0.9.0","1","1","demographics","age","0","0","0","0","0","0","33","1","4479","0"
"8","122116","17:57:33","13","13","4.0.9.0","1","2","demographics","gender","0","0","0","0","0","0","female","1","4886","0"
"9","122116","17:34:35","6","6","4.0.9.0","1","1","demographics","age","0","0","0","0","0","0","61","1","10016","0"
"10","122116","17:34:35","6","6","4.0.9.0","1","2","demographics","gender","0","0","0","0","0","0","female","1","6688","0"
"11","122116","17:34:43","8","8","4.0.9.0","1","1","demographics","age","0","0","0","0","0","0","32","1","2898","0"
"12","122116","17:34:43","8","8","4.0.9.0","1","2","demographics","gender","0","0","0","0","0","0","Male","1","2829","0"
"13","122116","17:34:07","7","7","4.0.9.0","1","1","demographics","age","0","0","0","0","0","0","27","1","2735","0"
"14","122116","17:34:07","7","7","4.0.9.0","1","2","demographics","gender","0","0","0","0","0","0","Male","1","4230","0"
"15","122116","17:33:41","2","2","4.0.9.0","1","1","demographics","age","0","0","0","0","0","0","34","1","6209","0"
"16","122116","17:33:41","2","2","4.0.9.0","1","2","demographics","gender","0","0","0","0","0","0","Male","1","2923","0"
"17","122116","17:33:31","5","5","4.0.9.0","1","1","demographics","age","0","0","0","0","0","0","20","1","4682","0"
"18","122116","17:33:31","5","5","4.0.9.0","1","2","demographics","gender","0","0","0","0","0","0","Female","1","2587","0"
"19","122116","17:33:36","4","4","4.0.9.0","1","1","demographics","age","0","0","0","0","0","0","18","1","3069","0"
"20","122116","17:33:36","4","4","4.0.9.0","1","2","demographics","gender","0","0","0","0","0","0","Male","1","3014","0"
"21","122116","17:33:13","3","3","4.0.9.0","1","1","demographics","age","0","0","0","0","0","0","35","1","2890","0"
"22","122116","17:33:13","3","3","4.0.9.0","1","2","demographics","gender","0","0","0","0","0","0","male","1","3904","0"
"23","122116","17:26:50","1","1","4.0.9.0","1","1","demographics","age","0","0","0","0","0","0","","1","6061","0"
