"date","time","group","subject","blockcode","blocknum","trialcode","trialnum","response","correct","latency","stimulusnumber1","stimulusitem1","expressions.da","expressions.db","expressions.d","expressions.percentcorrect"
"122116","13:16:05","14","14","targetincompatiblepractice","1","targetAright","2","23","1","2236","4","flower4.jpg","","","0","0"
"122116","13:16:05","14","14","targetincompatiblepractice","1","targetAright","3","23","1","549","5","flower5.jpg","","","0","0"
"122116","13:16:05","14","14","targetincompatiblepractice","1","targetBleft","4","18","1","467","1","insect1.jpg","","","0","0"
"122116","13:16:05","14","14","targetincompatiblepractice","1","targetBleft","5","18","1","565","5","insect5.jpg","","","0","0"
"122116","13:16:05","14","14","targetincompatiblepractice","1","targetBleft","6","18","1","491","2","insect2.jpg","","","0","0"
"122116","13:16:05","14","14","targetincompatiblepractice","1","targetAright","7","23","1","588","6","flower6.jpg","","","0","0"
"122116","13:16:05","14","14","targetincompatiblepractice","1","targetAright","8","23","1","473","3","flower3.jpg","","","0","0"
"122116","13:16:05","14","14","targetincompatiblepractice","1","targetBleft","9","18","1","555","3","insect3.jpg","","","0","0"
"122116","13:16:05","14","14","targetincompatiblepractice","1","targetAright","10","23","1","586","2","flower2.jpg","","","0","0"
"122116","13:16:05","14","14","targetincompatiblepractice","1","targetAright","11","23","1","455","1","flower1.jpg","","","0","0"
"122116","13:16:05","14","14","targetincompatiblepractice","1","targetAright","12","23","1","473","1","flower1.jpg","","","0","0"
"122116","13:16:05","14","14","targetincompatiblepractice","1","targetBleft","13","18","1","1235","6","insect6.jpg","","","0","0"
"122116","13:16:05","14","14","targetincompatiblepractice","1","targetAright","14","23","1","717","2","flower2.jpg","","","0","0"
"122116","13:16:05","14","14","targetincompatiblepractice","1","targetBleft","15","18","1","581","4","insect4.jpg","","","0","0"
"122116","13:16:05","14","14","targetincompatiblepractice","1","targetAright","16","23","1","539","5","flower5.jpg","","","0","0"
"122116","13:16:05","14","14","targetincompatiblepractice","1","targetBleft","17","18","1","666","6","insect6.jpg","","","0","0"
"122116","13:16:05","14","14","targetincompatiblepractice","1","targetAright","18","23","1","2508","4","flower4.jpg","","","0","0"
"122116","13:16:05","14","14","targetincompatiblepractice","1","targetBleft","19","18","1","531","3","insect3.jpg","","","0","0"
"122116","13:16:05","14","14","targetincompatiblepractice","1","targetBleft","20","18","1","626","2","insect2.jpg","","","0","0"
"122116","13:16:05","14","14","targetincompatiblepractice","1","targetBleft","21","18","1","430","4","insect4.jpg","","","0","0"
"122116","13:16:05","14","14","attributepractice","2","attributeB","2","23","1","1474","7","Failure","","","0","0"
"122116","13:16:05","14","14","attributepractice","2","attributeA","3","18","1","563","4","Love","","","0","0"
"122116","13:16:05","14","14","attributepractice","2","attributeB","4","23","1","873","8","Hurt","","","0","0"
"122116","13:16:05","14","14","attributepractice","2","attributeA","5","18","1","579","5","Glorious","","","0","0"
"122116","13:16:05","14","14","attributepractice","2","attributeB","6","23","1","592","6","Horrible","","","0","0"
"122116","13:16:05","14","14","attributepractice","2","attributeB","7","23","1","678","3","Awful","","","0","0"
"122116","13:16:05","14","14","attributepractice","2","attributeA","8","18","1","591","3","Laughter","","","0","0"
"122116","13:16:05","14","14","attributepractice","2","attributeA","9","18","1","972","6","Pleasure","","","0","0"
