"participant","trial_n","rating","IAT_condition","block_order","task_order","gender","age","modern_racism_scale_total","IAT_exclude_based_on_fast_trials","SCIAT_exclude_based_on_fast_trials"
292,1,2,"Race IAT","incongruent","SCIAT first","female",27,16,FALSE,FALSE
292,2,4,"Race IAT","incongruent","SCIAT first","female",27,16,FALSE,FALSE
292,3,4,"Race IAT","incongruent","SCIAT first","female",27,16,FALSE,FALSE
292,4,3,"Race IAT","incongruent","SCIAT first","female",27,16,FALSE,FALSE
292,5,4,"Race IAT","incongruent","SCIAT first","female",27,16,FALSE,FALSE
292,6,4,"Race IAT","incongruent","SCIAT first","female",27,16,FALSE,FALSE
293,1,6,"Flowers-Insects IAT","congruent","ratings first","male",31,15,TRUE,TRUE
293,2,6,"Flowers-Insects IAT","congruent","ratings first","male",31,15,TRUE,TRUE
293,3,5,"Flowers-Insects IAT","congruent","ratings first","male",31,15,TRUE,TRUE
293,4,5,"Flowers-Insects IAT","congruent","ratings first","male",31,15,TRUE,TRUE
293,5,6,"Flowers-Insects IAT","congruent","ratings first","male",31,15,TRUE,TRUE
293,6,7,"Flowers-Insects IAT","congruent","ratings first","male",31,15,TRUE,TRUE
291,1,6,"Race IAT","congruent","SCIAT first","male",33,15,FALSE,FALSE
291,2,6,"Race IAT","congruent","SCIAT first","male",33,15,FALSE,FALSE
291,3,6,"Race IAT","congruent","SCIAT first","male",33,15,FALSE,FALSE
291,4,6,"Race IAT","congruent","SCIAT first","male",33,15,FALSE,FALSE
291,5,6,"Race IAT","congruent","SCIAT first","male",33,15,FALSE,FALSE
291,6,6,"Race IAT","congruent","SCIAT first","male",33,15,FALSE,FALSE
288,1,4,"Flowers-Insects IAT","incongruent","SCIAT first","male",18,23,FALSE,FALSE
288,2,5,"Flowers-Insects IAT","incongruent","SCIAT first","male",18,23,FALSE,FALSE
288,3,6,"Flowers-Insects IAT","incongruent","SCIAT first","male",18,23,FALSE,FALSE
288,4,4,"Flowers-Insects IAT","incongruent","SCIAT first","male",18,23,FALSE,FALSE
288,5,3,"Flowers-Insects IAT","incongruent","SCIAT first","male",18,23,FALSE,FALSE
288,6,3,"Flowers-Insects IAT","incongruent","SCIAT first","male",18,23,FALSE,FALSE
287,1,5,"Flowers-Insects IAT","congruent","SCIAT first","male",40,20,FALSE,FALSE
287,2,6,"Flowers-Insects IAT","congruent","SCIAT first","male",40,20,FALSE,FALSE
287,3,5,"Flowers-Insects IAT","congruent","SCIAT first","male",40,20,FALSE,FALSE
287,4,6,"Flowers-Insects IAT","congruent","SCIAT first","male",40,20,FALSE,FALSE
287,5,3,"Flowers-Insects IAT","congruent","SCIAT first","male",40,20,FALSE,FALSE
287,6,6,"Flowers-Insects IAT","congruent","SCIAT first","male",40,20,FALSE,FALSE
290,1,1,"Race IAT","incongruent","ratings first","female",43,31,FALSE,FALSE
290,2,1,"Race IAT","incongruent","ratings first","female",43,31,FALSE,FALSE
290,3,1,"Race IAT","incongruent","ratings first","female",43,31,FALSE,FALSE
290,4,1,"Race IAT","incongruent","ratings first","female",43,31,FALSE,FALSE
290,5,1,"Race IAT","incongruent","ratings first","female",43,31,FALSE,FALSE
290,6,1,"Race IAT","incongruent","ratings first","female",43,31,FALSE,FALSE
283,1,3,"Race IAT","congruent","SCIAT first","male",42,23,FALSE,FALSE
283,2,3,"Race IAT","congruent","SCIAT first","male",42,23,FALSE,FALSE
283,3,3,"Race IAT","congruent","SCIAT first","male",42,23,FALSE,FALSE
283,4,3,"Race IAT","congruent","SCIAT first","male",42,23,FALSE,FALSE
283,5,3,"Race IAT","congruent","SCIAT first","male",42,23,FALSE,FALSE
283,6,3,"Race IAT","congruent","SCIAT first","male",42,23,FALSE,FALSE
282,1,4,"Race IAT","incongruent","ratings first","male",22,16,FALSE,FALSE
282,2,4,"Race IAT","incongruent","ratings first","male",22,16,FALSE,FALSE
282,3,4,"Race IAT","incongruent","ratings first","male",22,16,FALSE,FALSE
282,4,4,"Race IAT","incongruent","ratings first","male",22,16,FALSE,FALSE
282,5,4,"Race IAT","incongruent","ratings first","male",22,16,FALSE,FALSE
282,6,4,"Race IAT","incongruent","ratings first","male",22,16,FALSE,FALSE
284,1,4,"Race IAT","incongruent","SCIAT first","male",21,20,FALSE,FALSE
284,2,3,"Race IAT","incongruent","SCIAT first","male",21,20,FALSE,FALSE
284,3,5,"Race IAT","incongruent","SCIAT first","male",21,20,FALSE,FALSE
284,4,4,"Race IAT","incongruent","SCIAT first","male",21,20,FALSE,FALSE
284,5,4,"Race IAT","incongruent","SCIAT first","male",21,20,FALSE,FALSE
284,6,4,"Race IAT","incongruent","SCIAT first","male",21,20,FALSE,FALSE
279,1,6,"Flowers-Insects IAT","congruent","SCIAT first","female",28,19,FALSE,FALSE
279,2,4,"Flowers-Insects IAT","congruent","SCIAT first","female",28,19,FALSE,FALSE
279,3,4,"Flowers-Insects IAT","congruent","SCIAT first","female",28,19,FALSE,FALSE
279,4,4,"Flowers-Insects IAT","congruent","SCIAT first","female",28,19,FALSE,FALSE
279,5,5,"Flowers-Insects IAT","congruent","SCIAT first","female",28,19,FALSE,FALSE
279,6,3,"Flowers-Insects IAT","congruent","SCIAT first","female",28,19,FALSE,FALSE
286,1,4,"Flowers-Insects IAT","incongruent","ratings first","male",18,23,FALSE,FALSE
286,2,3,"Flowers-Insects IAT","incongruent","ratings first","male",18,23,FALSE,FALSE
286,3,4,"Flowers-Insects IAT","incongruent","ratings first","male",18,23,FALSE,FALSE
286,4,4,"Flowers-Insects IAT","incongruent","ratings first","male",18,23,FALSE,FALSE
286,5,4,"Flowers-Insects IAT","incongruent","ratings first","male",18,23,FALSE,FALSE
286,6,4,"Flowers-Insects IAT","incongruent","ratings first","male",18,23,FALSE,FALSE
272,1,4,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
272,2,4,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
272,3,4,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
272,4,4,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
272,5,4,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
272,6,4,"Flowers-Insects IAT","incongruent","SCIAT first","male",37,16,FALSE,FALSE
281,1,4,"Race IAT","congruent","ratings first","male",41,16,FALSE,FALSE
281,2,4,"Race IAT","congruent","ratings first","male",41,16,FALSE,FALSE
281,3,4,"Race IAT","congruent","ratings first","male",41,16,FALSE,FALSE
281,4,4,"Race IAT","congruent","ratings first","male",41,16,FALSE,FALSE
281,5,4,"Race IAT","congruent","ratings first","male",41,16,FALSE,FALSE
281,6,4,"Race IAT","congruent","ratings first","male",41,16,FALSE,FALSE
278,1,4,"Flowers-Insects IAT","incongruent","ratings first","male",28,13,FALSE,FALSE
278,2,4,"Flowers-Insects IAT","incongruent","ratings first","male",28,13,FALSE,FALSE
278,3,4,"Flowers-Insects IAT","incongruent","ratings first","male",28,13,FALSE,FALSE
278,4,4,"Flowers-Insects IAT","incongruent","ratings first","male",28,13,FALSE,FALSE
278,5,4,"Flowers-Insects IAT","incongruent","ratings first","male",28,13,FALSE,FALSE
278,6,4,"Flowers-Insects IAT","incongruent","ratings first","male",28,13,FALSE,FALSE
276,1,5,"Race IAT","incongruent","SCIAT first","male",35,20,FALSE,FALSE
276,2,5,"Race IAT","incongruent","SCIAT first","male",35,20,FALSE,FALSE
276,3,6,"Race IAT","incongruent","SCIAT first","male",35,20,FALSE,FALSE
276,4,4,"Race IAT","incongruent","SCIAT first","male",35,20,FALSE,FALSE
276,5,5,"Race IAT","incongruent","SCIAT first","male",35,20,FALSE,FALSE
276,6,5,"Race IAT","incongruent","SCIAT first","male",35,20,FALSE,FALSE
275,1,4,"Race IAT","congruent","SCIAT first","male",18,20,FALSE,FALSE
275,2,4,"Race IAT","congruent","SCIAT first","male",18,20,FALSE,FALSE
275,3,3,"Race IAT","congruent","SCIAT first","male",18,20,FALSE,FALSE
275,4,4,"Race IAT","congruent","SCIAT first","male",18,20,FALSE,FALSE
275,5,4,"Race IAT","congruent","SCIAT first","male",18,20,FALSE,FALSE
275,6,4,"Race IAT","congruent","SCIAT first","male",18,20,FALSE,FALSE
280,1,2,"Flowers-Insects IAT","incongruent","SCIAT first","male",46,19,FALSE,TRUE
280,2,2,"Flowers-Insects IAT","incongruent","SCIAT first","male",46,19,FALSE,TRUE
280,3,2,"Flowers-Insects IAT","incongruent","SCIAT first","male",46,19,FALSE,TRUE
280,4,2,"Flowers-Insects IAT","incongruent","SCIAT first","male",46,19,FALSE,TRUE
