"participant","block","trial_n","rt","accuracy","IAT_condition","block_order","task_order","gender","age","modern_racism_scale_total","IAT_exclude_based_on_fast_trials","SCIAT_exclude_based_on_fast_trials"
10,"incompatible",1,736,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"incompatible",2,720,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"incompatible",3,642,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"incompatible",4,535,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"incompatible",5,1327,0,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"incompatible",6,615,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"incompatible",7,598,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"incompatible",8,580,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"incompatible",9,667,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"incompatible",10,551,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"incompatible",11,534,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"incompatible",12,591,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"incompatible",13,718,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"incompatible",14,895,0,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"incompatible",15,1161,0,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"incompatible",16,1152,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"incompatible",17,624,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"incompatible",18,949,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"incompatible",19,645,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"incompatible",20,674,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"incompatible",21,741,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"incompatible",22,702,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"incompatible",23,1120,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"incompatible",24,937,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"incompatible",25,618,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"incompatible",26,822,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"incompatible",27,516,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"incompatible",28,661,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"incompatible",29,617,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
10,"incompatible",30,903,1,"Race IAT","incongruent","ratings first","male",18,24,FALSE,FALSE
