build,date,time,subject,blockcode,blocknum,trialcode,trialnum,stimulusitem1,response
4.0.9.0,122216,23:09:35,292,racism_scale,1,likert_scale,1,Over the past few years the government and news media have shown more respect to blacks than they deserve.,2
4.0.9.0,122216,23:09:35,292,racism_scale,1,likert_scale,2,Black people are getting too demanding in their push for equal rights.,2
4.0.9.0,122216,23:09:35,292,racism_scale,1,likert_scale,3,Over the past few years blacks have gotten more economically than they deserve.,1
4.0.9.0,122216,23:09:35,292,racism_scale,1,likert_scale,4,I am against racial preferences in hiring and education.,4
4.0.9.0,122216,23:09:35,292,racism_scale,1,likert_scale,5,It is easy to understand the anger of black people in my country.,2
4.0.9.0,122216,23:09:35,292,racism_scale,1,likert_scale,6,Discrimination against black people is no longer a problem in my country.,3
4.0.9.0,122216,23:09:35,292,racism_scale,1,likert_scale,7,Black people should not push themselves where they‰Ûªre not wanted.,2
4.0.9.0,122216,22:58:25,293,racism_scale,1,likert_scale,1,Black people are getting too demanding in their push for equal rights.,1
4.0.9.0,122216,22:58:25,293,racism_scale,1,likert_scale,2,Discrimination against black people is no longer a problem in my country.,1
4.0.9.0,122216,22:58:25,293,racism_scale,1,likert_scale,3,I am against racial preferences in hiring and education.,5
4.0.9.0,122216,22:58:25,293,racism_scale,1,likert_scale,4,It is easy to understand the anger of black people in my country.,5
4.0.9.0,122216,22:58:25,293,racism_scale,1,likert_scale,5,Over the past few years blacks have gotten more economically than they deserve.,1
4.0.9.0,122216,22:58:25,293,racism_scale,1,likert_scale,6,Black people should not push themselves where they‰Ûªre not wanted.,1
4.0.9.0,122216,22:58:25,293,racism_scale,1,likert_scale,7,Over the past few years the government and news media have shown more respect to blacks than they deserve.,1
4.0.9.0,122216,21:53:59,291,racism_scale,1,likert_scale,1,Over the past few years the government and news media have shown more respect to blacks than they deserve.,1
4.0.9.0,122216,21:53:59,291,racism_scale,1,likert_scale,2,I am against racial preferences in hiring and education.,5
4.0.9.0,122216,21:53:59,291,racism_scale,1,likert_scale,3,Over the past few years blacks have gotten more economically than they deserve.,1
4.0.9.0,122216,21:53:59,291,racism_scale,1,likert_scale,4,It is easy to understand the anger of black people in my country.,5
4.0.9.0,122216,21:53:59,291,racism_scale,1,likert_scale,5,Black people should not push themselves where they‰Ûªre not wanted.,1
4.0.9.0,122216,21:53:59,291,racism_scale,1,likert_scale,6,Black people are getting too demanding in their push for equal rights.,1
4.0.9.0,122216,21:53:59,291,racism_scale,1,likert_scale,7,Discrimination against black people is no longer a problem in my country.,1
4.0.9.0,122216,21:53:31,290,racism_scale,1,likert_scale,1,Black people are getting too demanding in their push for equal rights.,5
4.0.9.0,122216,21:53:31,290,racism_scale,1,likert_scale,2,I am against racial preferences in hiring and education.,5
4.0.9.0,122216,21:53:31,290,racism_scale,1,likert_scale,3,Over the past few years the government and news media have shown more respect to blacks than they deserve.,5
4.0.9.0,122216,21:53:31,290,racism_scale,1,likert_scale,4,It is easy to understand the anger of black people in my country.,1
4.0.9.0,122216,21:53:31,290,racism_scale,1,likert_scale,5,Black people should not push themselves where they‰Ûªre not wanted.,5
4.0.9.0,122216,21:53:31,290,racism_scale,1,likert_scale,6,Discrimination against black people is no longer a problem in my country.,5
4.0.9.0,122216,21:53:31,290,racism_scale,1,likert_scale,7,Over the past few years blacks have gotten more economically than they deserve.,5
4.0.9.0,122216,21:51:26,282,racism_scale,1,likert_scale,1,Black people should not push themselves where they‰Ûªre not wanted.,1
4.0.9.0,122216,21:51:26,282,racism_scale,1,likert_scale,2,Over the past few years blacks have gotten more economically than they deserve.,1
4.0.9.0,122216,21:51:26,282,racism_scale,1,likert_scale,3,Over the past few years the government and news media have shown more respect to blacks than they deserve.,1
4.0.9.0,122216,21:51:26,282,racism_scale,1,likert_scale,4,It is easy to understand the anger of black people in my country.,4
4.0.9.0,122216,21:51:26,282,racism_scale,1,likert_scale,5,Black people are getting too demanding in their push for equal rights.,2
4.0.9.0,122216,21:51:26,282,racism_scale,1,likert_scale,6,Discrimination against black people is no longer a problem in my country.,3
4.0.9.0,122216,21:51:26,282,racism_scale,1,likert_scale,7,I am against racial preferences in hiring and education.,4
4.0.9.0,122316,03:51:06,288,racism_scale,1,likert_scale,1,Black people should not push themselves where they‰Ûªre not wanted.,3
4.0.9.0,122316,03:51:06,288,racism_scale,1,likert_scale,2,Discrimination against black people is no longer a problem in my country.,4
4.0.9.0,122316,03:51:06,288,racism_scale,1,likert_scale,3,Over the past few years blacks have gotten more economically than they deserve.,2
4.0.9.0,122316,03:51:06,288,racism_scale,1,likert_scale,4,Over the past few years the government and news media have shown more respect to blacks than they deserve.,2
4.0.9.0,122316,03:51:06,288,racism_scale,1,likert_scale,5,Black people are getting too demanding in their push for equal rights.,3
4.0.9.0,122316,03:51:06,288,racism_scale,1,likert_scale,6,It is easy to understand the anger of black people in my country.,4
4.0.9.0,122316,03:51:06,288,racism_scale,1,likert_scale,7,I am against racial preferences in hiring and education.,5
4.0.9.0,122216,21:50:05,287,racism_scale,1,likert_scale,1,Black people should not push themselves where they‰Ûªre not wanted.,4
4.0.9.0,122216,21:50:05,287,racism_scale,1,likert_scale,2,Discrimination against black people is no longer a problem in my country.,1
4.0.9.0,122216,21:50:05,287,racism_scale,1,likert_scale,3,Black people are getting too demanding in their push for equal rights.,4
4.0.9.0,122216,21:50:05,287,racism_scale,1,likert_scale,4,Over the past few years blacks have gotten more economically than they deserve.,2
4.0.9.0,122216,21:50:05,287,racism_scale,1,likert_scale,5,Over the past few years the government and news media have shown more respect to blacks than they deserve.,2
4.0.9.0,122216,21:50:05,287,racism_scale,1,likert_scale,6,It is easy to understand the anger of black people in my country.,2
4.0.9.0,122216,21:50:05,287,racism_scale,1,likert_scale,7,I am against racial preferences in hiring and education.,5
4.0.9.0,122216,19:48:40,283,racism_scale,1,likert_scale,1,Over the past few years the government and news media have shown more respect to blacks than they deserve.,3
4.0.9.0,122216,19:48:40,283,racism_scale,1,likert_scale,2,It is easy to understand the anger of black people in my country.,3
4.0.9.0,122216,19:48:40,283,racism_scale,1,likert_scale,3,I am against racial preferences in hiring and education.,5
4.0.9.0,122216,19:48:40,283,racism_scale,1,likert_scale,4,Over the past few years blacks have gotten more economically than they deserve.,4
4.0.9.0,122216,19:48:40,283,racism_scale,1,likert_scale,5,Black people should not push themselves where they‰Ûªre not wanted.,3
4.0.9.0,122216,19:48:40,283,racism_scale,1,likert_scale,6,Black people are getting too demanding in their push for equal rights.,3
4.0.9.0,122216,19:48:40,283,racism_scale,1,likert_scale,7,Discrimination against black people is no longer a problem in my country.,2
4.0.9.0,122316,03:48:08,286,racism_scale,1,likert_scale,1,Over the past few years the government and news media have shown more respect to blacks than they deserve.,3
4.0.9.0,122316,03:48:08,286,racism_scale,1,likert_scale,2,Over the past few years blacks have gotten more economically than they deserve.,3
4.0.9.0,122316,03:48:08,286,racism_scale,1,likert_scale,3,I am against racial preferences in hiring and education.,5
4.0.9.0,122316,03:48:08,286,racism_scale,1,likert_scale,4,It is easy to understand the anger of black people in my country.,2
4.0.9.0,122316,03:48:08,286,racism_scale,1,likert_scale,5,Black people are getting too demanding in their push for equal rights.,4
4.0.9.0,122316,03:48:08,286,racism_scale,1,likert_scale,6,Black people should not push themselves where they‰Ûªre not wanted.,2
4.0.9.0,122316,03:48:08,286,racism_scale,1,likert_scale,7,Discrimination against black people is no longer a problem in my country.,4
4.0.9.0,122316,03:46:49,284,racism_scale,1,likert_scale,1,Black people are getting too demanding in their push for equal rights.,3
4.0.9.0,122316,03:46:49,284,racism_scale,1,likert_scale,2,Over the past few years blacks have gotten more economically than they deserve.,2
4.0.9.0,122316,03:46:49,284,racism_scale,1,likert_scale,3,I am against racial preferences in hiring and education.,4
4.0.9.0,122316,03:46:49,284,racism_scale,1,likert_scale,4,It is easy to understand the anger of black people in my country.,2
4.0.9.0,122316,03:46:49,284,racism_scale,1,likert_scale,5,Discrimination against black people is no longer a problem in my country.,4
4.0.9.0,122316,03:46:49,284,racism_scale,1,likert_scale,6,Black people should not push themselves where they‰Ûªre not wanted.,3
4.0.9.0,122316,03:46:49,284,racism_scale,1,likert_scale,7,Over the past few years the government and news media have shown more respect to blacks than they deserve.,2
4.0.9.0,122216,21:45:59,278,racism_scale,1,likert_scale,1,Black people should not push themselves where they‰Ûªre not wanted.,1
4.0.9.0,122216,21:45:59,278,racism_scale,1,likert_scale,2,Black people are getting too demanding in their push for equal rights.,1
4.0.9.0,122216,21:45:59,278,racism_scale,1,likert_scale,3,Over the past few years blacks have gotten more economically than they deserve.,1
4.0.9.0,122216,21:45:59,278,racism_scale,1,likert_scale,4,It is easy to understand the anger of black people in my country.,5
4.0.9.0,122216,21:45:59,278,racism_scale,1,likert_scale,5,Discrimination against black people is no longer a problem in my country.,1
4.0.9.0,122216,21:45:59,278,racism_scale,1,likert_scale,6,I am against racial preferences in hiring and education.,3
4.0.9.0,122216,21:45:59,278,racism_scale,1,likert_scale,7,Over the past few years the government and news media have shown more respect to blacks than they deserve.,1
4.0.9.0,122216,22:45:31,281,racism_scale,1,likert_scale,1,Over the past few years the government and news media have shown more respect to blacks than they deserve.,2
4.0.9.0,122216,22:45:31,281,racism_scale,1,likert_scale,2,Discrimination against black people is no longer a problem in my country.,1
4.0.9.0,122216,22:45:31,281,racism_scale,1,likert_scale,3,Black people should not push themselves where they‰Ûªre not wanted.,1
4.0.9.0,122216,22:45:31,281,racism_scale,1,likert_scale,4,It is easy to understand the anger of black people in my country.,5
4.0.9.0,122216,22:45:31,281,racism_scale,1,likert_scale,5,Over the past few years blacks have gotten more economically than they deserve.,1
4.0.9.0,122216,22:45:31,281,racism_scale,1,likert_scale,6,I am against racial preferences in hiring and education.,4
4.0.9.0,122216,22:45:31,281,racism_scale,1,likert_scale,7,Black people are getting too demanding in their push for equal rights.,2
4.0.9.0,122216,22:44:16,279,racism_scale,1,likert_scale,1,Over the past few years blacks have gotten more economically than they deserve.,2
4.0.9.0,122216,22:44:16,279,racism_scale,1,likert_scale,2,Black people are getting too demanding in their push for equal rights.,3
4.0.9.0,122216,22:44:16,279,racism_scale,1,likert_scale,3,Discrimination against black people is no longer a problem in my country.,1
4.0.9.0,122216,22:44:16,279,racism_scale,1,likert_scale,4,It is easy to understand the anger of black people in my country.,5
4.0.9.0,122216,22:44:16,279,racism_scale,1,likert_scale,5,I am against racial preferences in hiring and education.,5
4.0.9.0,122216,22:44:16,279,racism_scale,1,likert_scale,6,Over the past few years the government and news media have shown more respect to blacks than they deserve.,2
4.0.9.0,122216,22:44:16,279,racism_scale,1,likert_scale,7,Black people should not push themselves where they‰Ûªre not wanted.,1
4.0.9.0,122216,22:43:22,280,racism_scale,1,likert_scale,1,Black people should not push themselves where they‰Ûªre not wanted.,3
