"participant","complete","amp_recognition_response","gender","age","modern_racism_scale_total","mean_rating","IAT_mean_RT","IAT_perc_acc","IAT_exclude_based_on_fast_trials","AMP_mean_RT","AMP_perc_acc","AMP_neutral_perc_acc","AMP_race_perc_acc","AMP_diff","exclude","condition","IAT_condition","block_order","task_order"
1,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,1,"Race IAT","congruent","ratings first"
2,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,2,"Race IAT","incongruent","ratings first"
3,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,3,"Race IAT","congruent","SCIAT first"
4,TRUE,"Only black faces","male",26,16,4,740,0.96,FALSE,370,0.67,0.56,0.78,0.22,FALSE,4,"Race IAT","incongruent","SCIAT first"
7,TRUE,"Only black faces","female",37,22,4,962,0.98,FALSE,936,0.51,0.74,0.28,-0.46,FALSE,7,"Flowers-Insects IAT","congruent","SCIAT first"
8,TRUE,"I don't know","male",26,20,4,1042,0.88,FALSE,408,0.96,0.92,1,0.08,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
12,TRUE,"Only black faces","male",21,13,3.83,721,0.78,FALSE,355,0.37,0.52,0.22,-0.3,FALSE,4,"Race IAT","incongruent","SCIAT first"
13,TRUE,"Only black faces","male",40,21,4.33,718,0.95,FALSE,683,0.76,1,0.52,-0.48,FALSE,5,"Flowers-Insects IAT","congruent","ratings first"
15,TRUE,"Only black faces","female ",20,17,3.17,1078,0.98,FALSE,878,0.68,0.68,0.68,0,FALSE,7,"Flowers-Insects IAT","congruent","SCIAT first"
16,TRUE,"Only black faces","male",50,15,5.67,871,0.98,FALSE,1153,0.8,0.8,0.8,0,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
18,TRUE,"Both white and black faces","male",33,16,2.33,1155,0.82,FALSE,504,0.73,0.8,0.66,-0.14,FALSE,2,"Race IAT","incongruent","ratings first"
19,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,3,"Race IAT","congruent","SCIAT first"
21,TRUE,"I don't know","male",36,15,4.17,665,1,FALSE,669,0.51,0.58,0.44,-0.14,FALSE,5,"Flowers-Insects IAT","congruent","ratings first"
22,TRUE,"Only black faces","female",54,20,3.83,887,0.98,FALSE,631,0.66,0.64,0.68,0.04,FALSE,6,"Flowers-Insects IAT","incongruent","ratings first"
23,TRUE,"Only black faces","female",31,12,5,622,0.91,FALSE,431,0.68,0.66,0.7,0.0399999999999999,FALSE,7,"Flowers-Insects IAT","congruent","SCIAT first"
24,TRUE,"Both white and black faces","female",37,16,3.83,949,0.98,FALSE,793,0.42,0.38,0.46,0.08,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
26,TRUE,"I don't know","female",20,20,4,897,0.98,FALSE,442,0.51,0.52,0.5,-0.02,FALSE,2,"Race IAT","incongruent","ratings first"
29,TRUE,"Only black faces","female",40,18,4,731,0.98,FALSE,731,0.72,0.58,0.86,0.28,FALSE,5,"Flowers-Insects IAT","congruent","ratings first"
32,TRUE,"Only black faces","male",23,21,5.17,989,0.82,FALSE,756,0.56,0.54,0.58,0.0399999999999999,FALSE,8,"Flowers-Insects IAT","incongruent","SCIAT first"
33,TRUE,"Only black faces","female",30,22,4.33,804,0.96,FALSE,749,0.69,0.8,0.58,-0.22,FALSE,1,"Race IAT","congruent","ratings first"
36,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,4,"Race IAT","incongruent","SCIAT first"
37,TRUE,"Only black faces","male",64,17,4.33,775,1,FALSE,660,1,1,1,0,FALSE,5,"Flowers-Insects IAT","congruent","ratings first"
38,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,6,"Flowers-Insects IAT","incongruent","ratings first"
39,TRUE,"Both white and black faces","female",28,14,4,1096,0.94,FALSE,566,0.76,0.54,0.98,0.44,FALSE,7,"Flowers-Insects IAT","congruent","SCIAT first"
44,TRUE,"Only black faces","male",57,14,4,781,0.99,FALSE,778,0.49,0.48,0.5,0.02,FALSE,4,"Race IAT","incongruent","SCIAT first"
