"participant","block_n","trial_n","task","item","response","accuracy","rt","amp_recognition_response"
481,NA,NA,NA,NA,NA,NA,NA,"Both white and black faces"
481,"1","4","AMP_practice","primeNeutralpractice","23","1","2678",NA
481,"1","5","AMP_practice","primeRacepractice","23","0","1102",NA
481,"1","6","AMP_practice","primeNeutralpractice","23","1","1466",NA
481,"1","7","AMP_practice","primeNeutralpractice","23","1","731",NA
481,"1","8","AMP_practice","primeNeutralpractice","18","1","747",NA
481,"1","9","AMP_practice","primeRacepractice","18","1","884",NA
481,"1","10","AMP_practice","primeRacepractice","23","0","788",NA
481,"1","11","AMP_practice","primeNeutralpractice","23","1","616",NA
481,"1","12","AMP_practice","primeRacepractice","23","0","602",NA
481,"1","13","AMP_practice","primeRacepractice","23","0","680",NA
481,"2","2","AMP_test","primeRace","23","1","716",NA
481,"2","3","AMP_test","primeRace","23","1","572",NA
481,"2","4","AMP_test","primeNeutral","18","0","667",NA
481,"2","5","AMP_test","primeRace","23","1","992",NA
481,"2","6","AMP_test","primeNeutral","18","0","591",NA
481,"2","7","AMP_test","primeRace","23","1","493",NA
481,"2","8","AMP_test","primeNeutral","18","0","581",NA
481,"2","9","AMP_test","primeNeutral","23","1","505",NA
481,"2","10","AMP_test","primeRace","23","1","642",NA
481,"2","11","AMP_test","primeRace","23","1","599",NA
481,"2","12","AMP_test","primeRace","18","0","773",NA
481,"2","13","AMP_test","primeRace","18","0","558",NA
481,"2","14","AMP_test","primeNeutral","23","1","459",NA
481,"2","15","AMP_test","primeRace","23","1","615",NA
481,"2","16","AMP_test","primeNeutral","23","1","566",NA
481,"2","17","AMP_test","primeNeutral","18","0","591",NA
481,"2","18","AMP_test","primeRace","18","0","634",NA
481,"2","19","AMP_test","primeNeutral","23","1","376",NA
481,"2","20","AMP_test","primeRace","23","1","445",NA
481,"2","21","AMP_test","primeRace","18","0","523",NA
481,"2","22","AMP_test","primeRace","18","0","738",NA
481,"2","23","AMP_test","primeRace","18","0","681",NA
481,"2","24","AMP_test","primeRace","23","1","400",NA
481,"2","25","AMP_test","primeNeutral","18","0","697",NA
481,"2","26","AMP_test","primeRace","23","1","389",NA
481,"2","27","AMP_test","primeRace","23","1","577",NA
481,"2","28","AMP_test","primeRace","23","1","501",NA
481,"2","29","AMP_test","primeNeutral","23","1","839",NA
481,"2","30","AMP_test","primeNeutral","23","1","766",NA
481,"2","31","AMP_test","primeRace","23","1","548",NA
481,"2","32","AMP_test","primeRace","18","0","676",NA
481,"2","33","AMP_test","primeNeutral","23","1","469",NA
481,"2","34","AMP_test","primeNeutral","23","1","510",NA
481,"2","35","AMP_test","primeNeutral","18","0","600",NA
481,"2","36","AMP_test","primeRace","23","1","412",NA
481,"2","37","AMP_test","primeNeutral","23","1","728",NA
481,"2","38","AMP_test","primeRace","23","1","542",NA
481,"2","39","AMP_test","primeNeutral","23","1","831",NA
481,"2","40","AMP_test","primeNeutral","23","1","535",NA
481,"2","41","AMP_test","primeRace","23","1","714",NA
481,"2","42","AMP_test","primeRace","18","0","534",NA
481,"2","43","AMP_test","primeNeutral","18","0","683",NA
481,"2","44","AMP_test","primeNeutral","18","0","638",NA
481,"2","45","AMP_test","primeRace","23","1","536",NA
481,"2","46","AMP_test","primeRace","23","1","478",NA
481,"2","47","AMP_test","primeNeutral","23","1","507",NA
481,"2","48","AMP_test","primeNeutral","23","1","544",NA
481,"2","49","AMP_test","primeNeutral","18","0","696",NA
481,"2","50","AMP_test","primeNeutral","23","1","680",NA
481,"2","51","AMP_test","primeRace","23","1","770",NA
481,"2","52","AMP_test","primeRace","23","1","520",NA
481,"2","53","AMP_test","primeNeutral","18","0","558",NA
481,"2","54","AMP_test","primeRace","23","1","535",NA
481,"2","55","AMP_test","primeRace","23","1","468",NA
481,"2","56","AMP_test","primeNeutral","18","0","597",NA
481,"2","57","AMP_test","primeRace","18","0","581",NA
481,"2","58","AMP_test","primeNeutral","18","0","510",NA
481,"2","59","AMP_test","primeRace","23","1","445",NA
481,"2","60","AMP_test","primeNeutral","18","0","548",NA
481,"2","61","AMP_test","primeRace","18","0","901",NA
481,"2","62","AMP_test","primeNeutral","23","1","558",NA
481,"2","63","AMP_test","primeNeutral","23","1","544",NA
481,"2","64","AMP_test","primeRace","18","0","472",NA
481,"2","65","AMP_test","primeRace","23","1","561",NA
481,"2","66","AMP_test","primeRace","23","1","1159",NA
481,"2","67","AMP_test","primeNeutral","23","1","419",NA
481,"2","68","AMP_test","primeNeutral","23","1","906",NA
481,"2","69","AMP_test","primeNeutral","23","1","386",NA
481,"2","70","AMP_test","primeNeutral","23","1","353",NA
481,"2","71","AMP_test","primeRace","23","1","665",NA
481,"2","72","AMP_test","primeNeutral","18","0","305",NA
481,"2","73","AMP_test","primeRace","18","0","627",NA
481,"2","74","AMP_test","primeNeutral","18","0","522",NA
481,"2","75","AMP_test","primeNeutral","18","0","481",NA
481,"2","76","AMP_test","primeRace","23","1","475",NA
481,"2","77","AMP_test","primeNeutral","23","1","434",NA
481,"2","78","AMP_test","primeNeutral","18","0","551",NA
481,"2","79","AMP_test","primeNeutral","23","1","487",NA
481,"2","80","AMP_test","primeNeutral","18","0","495",NA
481,"2","81","AMP_test","primeNeutral","18","0","544",NA
481,"2","82","AMP_test","primeNeutral","23","1","372",NA
481,"2","83","AMP_test","primeNeutral","23","1","776",NA
481,"2","84","AMP_test","primeRace","18","0","792",NA
481,"2","85","AMP_test","primeRace","23","1","499",NA
481,"2","86","AMP_test","primeNeutral","18","0","788",NA
481,"2","87","AMP_test","primeNeutral","23","1","535",NA
481,"2","88","AMP_test","primeRace","23","1","653",NA
481,"2","89","AMP_test","primeRace","23","1","499",NA
481,"2","90","AMP_test","primeRace","23","1","537",NA
481,"2","91","AMP_test","primeRace","18","0","910",NA
481,"2","92","AMP_test","primeNeutral","23","1","411",NA
481,"2","93","AMP_test","primeRace","23","1","492",NA
481,"2","94","AMP_test","primeNeutral","18","0","585",NA
481,"2","95","AMP_test","primeRace","18","0","638",NA
481,"2","96","AMP_test","primeNeutral","23","1","506",NA
481,"2","97","AMP_test","primeRace","23","1","667",NA
481,"2","98","AMP_test","primeRace","23","1","431",NA
481,"2","99","AMP_test","primeNeutral","23","1","476",NA
481,"2","100","AMP_test","primeRace","23","1","541",NA
481,"2","101","AMP_test","primeNeutral","18","0","643",NA
481,"1","1","demographics","age","22","1","5962",NA
481,"1","2","demographics","gender","Male","1","5277",NA
481,"1","2","targetcompatiblepractice","targetAleft","18","1","2347",NA
481,"1","3","targetcompatiblepractice","targetBright","23","1","829",NA
481,"1","4","targetcompatiblepractice","targetBright","23","0","2601",NA
481,"1","5","targetcompatiblepractice","targetAleft","18","1","755",NA
481,"1","6","targetcompatiblepractice","targetBright","23","1","575",NA
481,"1","7","targetcompatiblepractice","targetAleft","18","1","622",NA
481,"1","8","targetcompatiblepractice","targetAleft","18","1","786",NA
481,"1","9","targetcompatiblepractice","targetAleft","18","1","573",NA
481,"1","10","targetcompatiblepractice","targetAleft","18","1","576",NA
481,"1","11","targetcompatiblepractice","targetBright","23","1","565",NA
481,"1","12","targetcompatiblepractice","targetBright","23","1","726",NA
481,"1","13","targetcompatiblepractice","targetAleft","18","1","574",NA
481,"1","14","targetcompatiblepractice","targetAleft","18","1","608",NA
481,"1","15","targetcompatiblepractice","targetBright","23","1","572",NA
481,"1","16","targetcompatiblepractice","targetAleft","18","1","525",NA
481,"1","17","targetcompatiblepractice","targetBright","23","1","558",NA
481,"1","18","targetcompatiblepractice","targetBright","23","1","849",NA
481,"1","19","targetcompatiblepractice","targetBright","23","1","586",NA
481,"1","20","targetcompatiblepractice","targetBright","23","1","969",NA
481,"1","21","targetcompatiblepractice","targetAleft","18","1","672",NA
481,"2","2","attributepractice","attributeA","18","1","1317",NA
481,"2","3","attributepractice","attributeB","23","1","709",NA
481,"2","4","attributepractice","attributeB","23","1","1152",NA
481,"2","5","attributepractice","attributeB","23","1","631",NA
481,"2","6","attributepractice","attributeB","23","1","595",NA
481,"2","7","attributepractice","attributeA","18","1","636",NA
481,"2","8","attributepractice","attributeA","18","1","653",NA
481,"2","9","attributepractice","attributeB","23","1","608",NA
481,"2","10","attributepractice","attributeB","23","1","983",NA
481,"2","11","attributepractice","attributeB","23","1","807",NA
481,"2","12","attributepractice","attributeB","23","1","797",NA
481,"2","13","attributepractice","attributeA","18","1","804",NA
481,"2","14","attributepractice","attributeA","18","1","655",NA
481,"2","15","attributepractice","attributeB","23","1","599",NA
481,"2","16","attributepractice","attributeA","18","1","1170",NA
481,"2","17","attributepractice","attributeA","18","1","693",NA
481,"2","18","attributepractice","attributeB","23","1","585",NA
481,"2","19","attributepractice","attributeA","18","1","743",NA
481,"2","20","attributepractice","attributeA","18","1","595",NA
481,"2","21","attributepractice","attributeA","18","1","632",NA
481,"3","2","compatibletest1","attributeA","18","1","1316",NA
481,"3","3","compatibletest1","targetAleft","18","1","949",NA
481,"3","4","compatibletest1","attributeA","18","1","845",NA
481,"3","5","compatibletest1","targetAleft","18","1","1840",NA
481,"3","6","compatibletest1","attributeB","23","1","725",NA
481,"3","7","compatibletest1","targetAleft","18","1","629",NA
481,"3","8","compatibletest1","attributeA","18","1","828",NA
481,"3","9","compatibletest1","targetBright","23","1","702",NA
481,"3","10","compatibletest1","attributeA","18","1","773",NA
481,"3","11","compatibletest1","targetBright","23","1","1072",NA
481,"3","12","compatibletest1","attributeB","23","1","1137",NA
481,"3","13","compatibletest1","targetAleft","18","1","612",NA
481,"3","14","compatibletest1","attributeB","23","1","954",NA
481,"3","15","compatibletest1","targetAleft","18","1","593",NA
481,"3","16","compatibletest1","attributeA","18","1","761",NA
481,"3","17","compatibletest1","targetBright","23","1","656",NA
481,"3","18","compatibletest1","attributeB","23","1","901",NA
481,"3","19","compatibletest1","targetBright","23","1","683",NA
481,"3","20","compatibletest1","attributeB","23","1","674",NA
481,"3","21","compatibletest1","targetBright","23","1","507",NA
481,"5","1","compatibletest2","attributeA","18","1","1455",NA
481,"5","2","compatibletest2","targetAleft","18","1","639",NA
481,"5","3","compatibletest2","attributeB","23","1","1112",NA
481,"5","4","compatibletest2","targetBright","23","1","527",NA
481,"5","5","compatibletest2","attributeB","23","1","952",NA
481,"5","6","compatibletest2","targetBright","23","1","546",NA
481,"5","7","compatibletest2","attributeB","23","1","649",NA
481,"5","8","compatibletest2","targetBright","23","1","489",NA
481,"5","9","compatibletest2","attributeB","23","1","475",NA
481,"5","10","compatibletest2","targetBright","23","1","364",NA
481,"5","11","compatibletest2","attributeA","18","0","869",NA
481,"5","12","compatibletest2","targetAleft","18","1","792",NA
481,"5","13","compatibletest2","attributeB","23","1","588",NA
481,"5","14","compatibletest2","targetAleft","18","1","609",NA
481,"5","15","compatibletest2","attributeA","18","1","605",NA
481,"5","16","compatibletest2","targetBright","23","1","555",NA
481,"5","17","compatibletest2","attributeA","18","1","515",NA
481,"5","18","compatibletest2","targetAleft","18","1","860",NA
481,"5","19","compatibletest2","attributeA","18","1","580",NA
481,"5","20","compatibletest2","targetBright","23","1","549",NA
481,"5","21","compatibletest2","attributeA","18","1","605",NA
481,"5","22","compatibletest2","targetAleft","18","1","741",NA
481,"5","23","compatibletest2","attributeA","18","1","593",NA
481,"5","24","compatibletest2","targetBright","23","1","580",NA
481,"5","25","compatibletest2","attributeB","23","1","907",NA
481,"5","26","compatibletest2","targetAleft","18","1","563",NA
481,"5","27","compatibletest2","attributeB","23","1","734",NA
481,"5","28","compatibletest2","targetAleft","18","1","826",NA
481,"5","29","compatibletest2","attributeB","23","1","1181",NA
481,"5","30","compatibletest2","targetBright","23","1","599",NA
481,"5","31","compatibletest2","attributeA","18","1","530",NA
481,"5","32","compatibletest2","targetBright","23","0","1581",NA
481,"5","33","compatibletest2","attributeA","18","1","637",NA
481,"5","34","compatibletest2","targetBright","23","1","564",NA
481,"5","35","compatibletest2","attributeA","18","1","725",NA
481,"5","36","compatibletest2","targetAleft","18","0","924",NA
481,"5","37","compatibletest2","attributeB","23","1","604",NA
481,"5","38","compatibletest2","targetAleft","18","1","535",NA
481,"5","39","compatibletest2","attributeB","23","1","587",NA
481,"5","40","compatibletest2","targetAleft","18","1","549",NA
481,"6","2","targetincompatiblepractice","targetBleft","18","1","2132",NA
481,"6","3","targetincompatiblepractice","targetBleft","18","1","702",NA
481,"6","4","targetincompatiblepractice","targetBleft","18","1","1188",NA
481,"6","5","targetincompatiblepractice","targetBleft","18","1","785",NA
481,"6","6","targetincompatiblepractice","targetAright","23","1","481",NA
481,"6","7","targetincompatiblepractice","targetAright","23","0","946",NA
481,"6","8","targetincompatiblepractice","targetAright","23","1","576",NA
481,"6","9","targetincompatiblepractice","targetAright","23","1","534",NA
481,"6","10","targetincompatiblepractice","targetAright","23","1","439",NA
481,"6","11","targetincompatiblepractice","targetAright","23","1","571",NA
481,"6","12","targetincompatiblepractice","targetAright","23","1","430",NA
481,"6","13","targetincompatiblepractice","targetBleft","18","1","458",NA
481,"6","14","targetincompatiblepractice","targetBleft","18","1","507",NA
481,"6","15","targetincompatiblepractice","targetBleft","18","1","673",NA
481,"6","16","targetincompatiblepractice","targetBleft","18","1","602",NA
481,"6","17","targetincompatiblepractice","targetAright","23","1","622",NA
481,"6","18","targetincompatiblepractice","targetBleft","18","1","486",NA
481,"6","19","targetincompatiblepractice","targetAright","23","1","500",NA
481,"6","20","targetincompatiblepractice","targetBleft","18","1","515",NA
481,"6","21","targetincompatiblepractice","targetAright","23","1","482",NA
481,"7","2","incompatibletest1","attributeA","18","1","1225",NA
481,"7","3","incompatibletest1","targetAright","23","1","1661",NA
481,"7","4","incompatibletest1","attributeA","18","1","1899",NA
481,"7","5","incompatibletest1","targetAright","23","1","1100",NA
481,"7","6","incompatibletest1","attributeB","23","1","1072",NA
481,"7","7","incompatibletest1","targetBleft","18","1","1051",NA
481,"7","8","incompatibletest1","attributeB","23","0","1253",NA
481,"7","9","incompatibletest1","targetAright","23","1","1824",NA
481,"7","10","incompatibletest1","attributeA","18","1","1008",NA
481,"7","11","incompatibletest1","targetAright","23","1","1024",NA
481,"7","12","incompatibletest1","attributeB","23","0","2226",NA
481,"7","13","incompatibletest1","targetAright","23","1","892",NA
481,"7","14","incompatibletest1","attributeB","23","0","1542",NA
481,"7","15","incompatibletest1","targetBleft","18","1","1277",NA
481,"7","16","incompatibletest1","attributeA","18","0","1223",NA
481,"7","17","incompatibletest1","targetBleft","18","1","1048",NA
481,"7","18","incompatibletest1","attributeB","23","1","1384",NA
481,"7","19","incompatibletest1","targetBleft","18","1","961",NA
481,"7","20","incompatibletest1","attributeA","18","1","1127",NA
481,"7","21","incompatibletest1","targetBleft","18","1","735",NA
481,"9","1","incompatibletest2","attributeA","18","1","1053",NA
481,"9","2","incompatibletest2","targetBleft","18","1","1003",NA
481,"9","3","incompatibletest2","attributeA","18","1","678",NA
481,"9","4","incompatibletest2","targetAright","23","1","631",NA
481,"9","5","incompatibletest2","attributeB","23","1","676",NA
481,"9","6","incompatibletest2","targetBleft","18","1","684",NA
481,"9","7","incompatibletest2","attributeB","23","1","1613",NA
481,"9","8","incompatibletest2","targetBleft","18","1","748",NA
481,"9","9","incompatibletest2","attributeA","18","1","875",NA
481,"9","10","incompatibletest2","targetAright","23","1","749",NA
481,"9","11","incompatibletest2","attributeB","23","1","1230",NA
481,"9","12","incompatibletest2","targetBleft","18","1","759",NA
481,"9","13","incompatibletest2","attributeB","23","1","2152",NA
481,"9","14","incompatibletest2","targetAright","23","1","1564",NA
481,"9","15","incompatibletest2","attributeB","23","1","685",NA
481,"9","16","incompatibletest2","targetAright","23","1","441",NA
481,"9","17","incompatibletest2","attributeA","18","0","1013",NA
481,"9","18","incompatibletest2","targetAright","23","1","757",NA
481,"9","19","incompatibletest2","attributeA","18","1","973",NA
481,"9","20","incompatibletest2","targetBleft","18","1","496",NA
481,"9","21","incompatibletest2","attributeB","23","1","1274",NA
481,"9","22","incompatibletest2","targetAright","23","1","317",NA
481,"9","23","incompatibletest2","attributeB","23","1","1001",NA
481,"9","24","incompatibletest2","targetBleft","18","1","622",NA
481,"9","25","incompatibletest2","attributeA","18","1","1066",NA
481,"9","26","incompatibletest2","targetAright","23","1","711",NA
481,"9","27","incompatibletest2","attributeA","18","1","1102",NA
481,"9","28","incompatibletest2","targetBleft","18","1","527",NA
481,"9","29","incompatibletest2","attributeB","23","1","1006",NA
481,"9","30","incompatibletest2","targetBleft","18","1","556",NA
481,"9","31","incompatibletest2","attributeB","23","1","817",NA
