"participant","amp_recognition_response","condition","IAT_condition","block_order","task_order","gender","age","modern_racism_scale_total","IAT_mean_RT","IAT_perc_acc","IAT_exclude_based_on_fast_trials","AMP_mean_RT","AMP_perc_acc","exclude"
4,"Only black faces",4,"Race IAT","incongruent","SCIAT first","male",26,16,740,0.96,FALSE,370,0.67,FALSE
7,"Only black faces",7,"Flowers-Insects IAT","congruent","SCIAT first","female",37,22,962,0.98,FALSE,936,0.51,FALSE
8,"I don't know",8,"Flowers-Insects IAT","incongruent","SCIAT first","male",26,20,1042,0.88,FALSE,408,0.96,FALSE
12,"Only black faces",4,"Race IAT","incongruent","SCIAT first","male",21,13,721,0.78,FALSE,355,0.37,FALSE
13,"Only black faces",5,"Flowers-Insects IAT","congruent","ratings first","male",40,21,718,0.95,FALSE,683,0.76,FALSE
15,"Only black faces",7,"Flowers-Insects IAT","congruent","SCIAT first","female ",20,17,1078,0.98,FALSE,878,0.68,FALSE
16,"Only black faces",8,"Flowers-Insects IAT","incongruent","SCIAT first","male",50,15,871,0.98,FALSE,1153,0.8,FALSE
18,"Both white and black faces",2,"Race IAT","incongruent","ratings first","male",33,16,1155,0.82,FALSE,504,0.73,FALSE
21,"I don't know",5,"Flowers-Insects IAT","congruent","ratings first","male",36,15,665,1,FALSE,669,0.51,FALSE
22,"Only black faces",6,"Flowers-Insects IAT","incongruent","ratings first","female",54,20,887,0.98,FALSE,631,0.66,FALSE
23,"Only black faces",7,"Flowers-Insects IAT","congruent","SCIAT first","female",31,12,622,0.91,FALSE,431,0.68,FALSE
24,"Both white and black faces",8,"Flowers-Insects IAT","incongruent","SCIAT first","female",37,16,949,0.98,FALSE,793,0.42,FALSE
26,"I don't know",2,"Race IAT","incongruent","ratings first","female",20,20,897,0.98,FALSE,442,0.51,FALSE
29,"Only black faces",5,"Flowers-Insects IAT","congruent","ratings first","female",40,18,731,0.98,FALSE,731,0.72,FALSE
32,"Only black faces",8,"Flowers-Insects IAT","incongruent","SCIAT first","male",23,21,989,0.82,FALSE,756,0.56,FALSE
33,"Only black faces",1,"Race IAT","congruent","ratings first","female",30,22,804,0.96,FALSE,749,0.69,FALSE
37,"Only black faces",5,"Flowers-Insects IAT","congruent","ratings first","male",64,17,775,1,FALSE,660,1,FALSE
39,"Both white and black faces",7,"Flowers-Insects IAT","congruent","SCIAT first","female",28,14,1096,0.94,FALSE,566,0.76,FALSE
44,"Only black faces",4,"Race IAT","incongruent","SCIAT first","male",57,14,781,0.99,FALSE,778,0.49,FALSE
52,"Both white and black faces",4,"Race IAT","incongruent","SCIAT first","female",34,15,672,0.58,FALSE,258,0.7,FALSE
53,"Only black faces",5,"Flowers-Insects IAT","congruent","ratings first","male",38,15,828,0.93,FALSE,225,1,FALSE
59,"Only black faces",3,"Race IAT","congruent","SCIAT first","male",34,13,945,0.99,FALSE,418,0.71,FALSE
64,"Both white and black faces",8,"Flowers-Insects IAT","incongruent","SCIAT first","female",19,16,646,0.92,FALSE,455,0.58,FALSE
65,"Only black faces",1,"Race IAT","congruent","ratings first","male",28,19,817,0.99,FALSE,610,0.84,FALSE
68,"Only black faces",4,"Race IAT","incongruent","SCIAT first","male",43,25,712,0.83,FALSE,412,0.5,FALSE
69,"Both white and black faces",5,"Flowers-Insects IAT","congruent","ratings first","female",35,17,702,0.98,FALSE,361,1,FALSE
72,"Only black faces",8,"Flowers-Insects IAT","incongruent","SCIAT first","female",44,12,601,0.92,FALSE,432,0.64,FALSE
73,"Only black faces",1,"Race IAT","congruent","ratings first","female",59,9,925,0.91,FALSE,381,0,FALSE
75,"Only black faces",3,"Race IAT","congruent","SCIAT first","fee",35,19,1048,0.98,FALSE,632,0.51,FALSE
76,"Both white and black faces",4,"Race IAT","incongruent","SCIAT first","female",39,15,712,0.98,FALSE,270,1,FALSE
