"participant","item","accuracy","response_categorisation","rt","trial_type","IAT_condition","block_order","task_order","gender","age","modern_racism_scale_total","IAT_exclude_based_on_fast_trials"
730072246,"GunBlack",1,"Hit",673,"gun","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"GunBlack",1,"Hit",670,"gun","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"ObjectBlack",1,"CR",575,"object","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"ObjectBlack",1,"CR",724,"object","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"GunBlack",1,"Hit",680,"gun","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"GunBlack",1,"Hit",723,"gun","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"ObjectBlack",1,"CR",699,"object","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"ObjectBlack",0,"FA",536,"object","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"ObjectBlack",1,"CR",738,"object","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"ObjectBlack",1,"CR",718,"object","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"ObjectBlack",0,"FA",816,"object","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"ObjectBlack",1,"CR",838,"object","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"GunBlack",0,"Miss",690,"gun","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"GunBlack",0,"Miss",637,"gun","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"GunBlack",1,"Hit",623,"gun","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"GunBlack",1,"Hit",769,"gun","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"GunBlack",1,"Hit",810,"gun","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"GunBlack",1,"Hit",706,"gun","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"GunBlack",1,"Hit",625,"gun","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"ObjectBlack",1,"CR",647,"object","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"GunBlack",1,"Hit",592,"gun","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"GunBlack",1,"Hit",604,"gun","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"GunBlack",1,"Hit",618,"gun","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"ObjectBlack",1,"CR",764,"object","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"GunBlack",1,"Hit",645,"gun","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"GunBlack",1,"Hit",584,"gun","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"GunBlack",1,"Hit",777,"gun","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"GunBlack",1,"Hit",724,"gun","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"ObjectBlack",1,"CR",748,"object","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"GunBlack",1,"Hit",705,"gun","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"ObjectBlack",0,"FA",725,"object","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"GunBlack",0,"Miss",824,"gun","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"GunBlack",0,"Miss",755,"gun","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"ObjectBlack",0,"FA",653,"object","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"GunBlack",0,"Miss",687,"gun","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"ObjectBlack",1,"CR",842,"object","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"ObjectBlack",0,"FA",743,"object","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"GunBlack",1,"Hit",580,"gun","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"ObjectBlack",1,"CR",833,"object","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"ObjectBlack",1,"CR",743,"object","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"GunBlack",1,"Hit",673,"gun","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"GunBlack",1,"Hit",594,"gun","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"GunBlack",1,"Hit",698,"gun","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"ObjectBlack",1,"CR",782,"object","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"ObjectBlack",1,"CR",632,"object","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"ObjectBlack",1,"CR",554,"object","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"ObjectBlack",1,"CR",648,"object","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"ObjectBlack",1,"CR",686,"object","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"GunBlack",0,"Miss",377,"gun","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"ObjectBlack",1,"CR",802,"object","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"GunBlack",1,"Hit",662,"gun","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"GunBlack",1,"Hit",694,"gun","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"ObjectBlack",0,"FA",20,"object","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"GunBlack",1,"Hit",682,"gun","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"GunBlack",1,"Hit",445,"gun","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"ObjectBlack",1,"CR",706,"object","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"GunBlack",0,"Miss",758,"gun","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"GunBlack",1,"Hit",576,"gun","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
730072246,"ObjectBlack",1,"CR",672,"object","Flowers-Insects IAT","incongruent","ratings first","male",21,20,TRUE
182940083,"GunBlack",1,"Hit",679,"gun","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"ObjectBlack",1,"CR",663,"object","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"ObjectBlack",1,"CR",724,"object","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"GunBlack",0,"Miss",740,"gun","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"GunBlack",1,"Hit",735,"gun","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"GunBlack",1,"Hit",555,"gun","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"GunBlack",1,"Hit",539,"gun","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"ObjectBlack",1,"CR",746,"object","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"GunBlack",1,"Hit",668,"gun","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"GunBlack",1,"Hit",713,"gun","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"GunBlack",1,"Hit",534,"gun","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"ObjectBlack",1,"CR",804,"object","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"GunBlack",1,"Hit",575,"gun","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"GunBlack",1,"Hit",561,"gun","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"GunBlack",1,"Hit",659,"gun","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"GunBlack",1,"Hit",608,"gun","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"ObjectBlack",1,"CR",696,"object","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"GunBlack",1,"Hit",778,"gun","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"GunBlack",1,"Hit",719,"gun","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"ObjectBlack",1,"CR",792,"object","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"ObjectBlack",1,"CR",714,"object","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"ObjectBlack",1,"CR",685,"object","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"GunBlack",1,"Hit",593,"gun","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"GunBlack",1,"Hit",620,"gun","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"ObjectBlack",1,"CR",664,"object","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"ObjectBlack",1,"CR",673,"object","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"ObjectBlack",1,"CR",785,"object","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"ObjectBlack",1,"CR",605,"object","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"GunBlack",1,"Hit",803,"gun","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"ObjectBlack",1,"CR",759,"object","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"ObjectBlack",1,"CR",651,"object","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"ObjectBlack",1,"CR",681,"object","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"ObjectBlack",1,"CR",705,"object","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"ObjectBlack",1,"CR",815,"object","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"GunBlack",1,"Hit",470,"gun","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"GunBlack",1,"Hit",628,"gun","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"ObjectBlack",1,"CR",632,"object","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"ObjectBlack",1,"CR",613,"object","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"ObjectBlack",1,"CR",504,"object","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"GunBlack",1,"Hit",700,"gun","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"GunBlack",0,"Miss",706,"gun","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"ObjectBlack",1,"CR",736,"object","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"ObjectBlack",1,"CR",690,"object","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"GunBlack",1,"Hit",618,"gun","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"GunBlack",1,"Hit",637,"gun","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"GunBlack",1,"Hit",648,"gun","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"ObjectBlack",1,"CR",801,"object","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"GunBlack",1,"Hit",545,"gun","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"GunBlack",1,"Hit",627,"gun","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"ObjectBlack",1,"CR",802,"object","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"ObjectBlack",1,"CR",723,"object","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"GunBlack",1,"Hit",815,"gun","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"GunBlack",1,"Hit",584,"gun","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"ObjectBlack",1,"CR",763,"object","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"GunBlack",1,"Hit",515,"gun","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"ObjectBlack",1,"CR",654,"object","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"ObjectBlack",1,"CR",784,"object","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"GunBlack",1,"Hit",589,"gun","Race IAT","congruent","SCIAT first","female",49,16,FALSE
182940083,"ObjectBlack",1,"CR",701,"object","Race IAT","congruent","SCIAT first","female",49,16,FALSE
