"participant","condition","IAT_condition","block_order","task_order","gender","age","mean_rating","IAT_D1","IAT_mean_RT","IAT_perc_acc","IAT_exclude_based_on_fast_trials","percentage.Hit","percentage.FA","d","c","shooter_mean_RT","shooter_perc_acc","modern_racism_scale_total"
4497834,2,"Race IAT","incongruent","ratings first","female",20,4,0.382,744,0.95,FALSE,0.925,0.03,3.316,0.218,635,0.95,16
7205392,8,"Flowers-Insects IAT","incongruent","SCIAT first","male",34,3.33,0.643,720,0.98,FALSE,0.974,0.026,3.887,-0.006,638,0.97,15
14020169,1,"Race IAT","congruent","ratings first","female",44,4,0.717,861,0.98,FALSE,0.949,0.059,3.197,-0.034,657,0.95,22
22506001,1,"Race IAT","congruent","ratings first","male",24,4.67,0.473,916,0.92,FALSE,0.947,0.027,3.546,0.153,656,0.96,15
27087659,3,"Race IAT","congruent","SCIAT first","female",49,4.67,0.742,1206,0.98,FALSE,0.842,0.212,1.802,-0.102,682,0.82,18
27226757,5,"Flowers-Insects IAT","congruent","ratings first","female",25,6.17,0.34,1051,0.98,FALSE,0.806,0.1,2.143,0.21,702,0.85,14
28012583,7,"Flowers-Insects IAT","congruent","SCIAT first","female",33,6,0.558,763,0.87,FALSE,0.825,0.105,2.187,0.159,592,0.86,18
29137271,7,"Flowers-Insects IAT","congruent","SCIAT first","female",33,4,0.565,1237,0.97,FALSE,0.971,0.114,3.094,-0.343,704,0.93,15
34712061,5,"Flowers-Insects IAT","congruent","ratings first","female",50,4,0.79,985,1,FALSE,0.947,0.121,2.789,-0.225,679,0.92,19
38779001,1,"Race IAT","congruent","ratings first","female",38,4.83,0.605,687,0.97,FALSE,0.944,0.054,3.2,0.007,635,0.95,16
41400304,8,"Flowers-Insects IAT","incongruent","SCIAT first","male",21,6,0.579,681,0.9,FALSE,0.921,0.006,3.91,0.543,651,0.96,16
43912010,2,"Race IAT","incongruent","ratings first","male",24,4.67,0.494,892,0.88,FALSE,0.775,0.053,2.375,0.432,677,0.86,12
44646583,7,"Flowers-Insects IAT","congruent","SCIAT first","male",52,6.17,0.776,796,0.96,FALSE,0.949,0.162,2.618,-0.323,643,0.89,20
44915286,6,"Flowers-Insects IAT","incongruent","ratings first","male",43,2.33,1.037,827,0.99,FALSE,0.947,0.006,4.118,0.439,644,0.97,25
45824312,8,"Flowers-Insects IAT","incongruent","SCIAT first","female",37,5.83,0.399,753,0.97,FALSE,0.975,0.026,3.898,-0.011,637,0.97,12
45897747,3,"Race IAT","congruent","SCIAT first","female",29,4.67,0.408,857,0.97,FALSE,0.9,0.083,2.665,0.051,640,0.91,17
57250160,8,"Flowers-Insects IAT","incongruent","SCIAT first","male",36,4.5,1.361,798,0.98,FALSE,0.95,0.026,3.594,0.152,577,0.96,15
61784683,3,"Race IAT","congruent","SCIAT first","female",47,7,0.554,1739,0.99,FALSE,0.919,0.079,2.81,0.007,689,0.92,16
62983505,1,"Race IAT","congruent","ratings first","female",63,3.33,0.131,1677,0.99,FALSE,0.895,0.189,2.133,-0.186,606,0.85,17
64634778,2,"Race IAT","incongruent","ratings first","female",25,4,-0.05,1019,0.98,FALSE,0.973,0.062,3.461,-0.196,705,0.96,11
65123836,4,"Race IAT","incongruent","SCIAT first","male",25,4.5,0.579,610,0.89,FALSE,0.9,0.051,2.914,0.175,581,0.92,15
68906880,8,"Flowers-Insects IAT","incongruent","SCIAT first","male",47,4.67,1.026,922,0.95,FALSE,0.882,0.028,3.101,0.364,667,0.93,15
71675015,7,"Flowers-Insects IAT","congruent","SCIAT first","female",64,3.5,0.054,1519,1,FALSE,0.806,0.24,1.571,-0.079,641,0.79,16
72170145,1,"Race IAT","congruent","ratings first","male",27,4,0.984,913,0.98,FALSE,0.994,0.028,4.412,-0.292,670,0.99,18
76771109,5,"Flowers-Insects IAT","congruent","ratings first","male",22,4,0.926,764,0.92,FALSE,0.474,0.077,1.36,0.746,589,0.7,14
76994235,3,"Race IAT","congruent","SCIAT first","female",52,6.17,0.279,911,0.96,FALSE,0.711,0.368,0.891,-0.109,572,0.67,15
77526532,4,"Race IAT","incongruent","SCIAT first","female",40,4,0.351,935,1,FALSE,0.943,0.135,2.682,-0.238,634,0.9,20
89350505,1,"Race IAT","congruent","ratings first","male",64,5.5,0.212,942,0.94,FALSE,0.972,0.061,3.464,-0.182,657,0.96,10
91409689,1,"Race IAT","congruent","ratings first","male",20,4.5,0.539,813,0.98,FALSE,0.947,0.051,3.252,0.006,612,0.95,16
91445973,5,"Flowers-Insects IAT","congruent","ratings first","female",28,4,-0.088,785,0.98,FALSE,0.994,0.083,3.881,-0.557,653,0.96,13
92276310,6,"Flowers-Insects IAT","incongruent","ratings first","male",29,6.17,0.339,828,0.88,FALSE,0.925,0.083,2.823,-0.028,613,0.92,28
102983176,8,"Flowers-Insects IAT","incongruent","SCIAT first","female",62,3.83,1.026,813,0.97,FALSE,0.737,0.162,1.619,0.176,620,0.79,19
105966407,7,"Flowers-Insects IAT","congruent","SCIAT first","male",22,3.17,1.147,801,0.96,FALSE,0.825,0.205,1.758,-0.056,543,0.81,12
106054635,3,"Race IAT","congruent","SCIAT first","female ",38,4.33,0.026,943,0.98,FALSE,0.763,0.229,1.46,0.014,568,0.77,13
106620885,5,"Flowers-Insects IAT","congruent","ratings first","female",29,5.83,0.694,608,0.95,FALSE,0.946,0.103,2.874,-0.17,637,0.92,14
116822016,8,"Flowers-Insects IAT","incongruent","SCIAT first","female",31,4,0.7,1033,0.98,FALSE,0.95,0.053,3.265,-0.012,642,0.95,23
126336192,8,"Flowers-Insects IAT","incongruent","SCIAT first","female",44,4,0.544,982,0.94,FALSE,0.872,0.083,2.518,0.124,647,0.89,15
129848145,1,"Race IAT","congruent","ratings first","female",27,3.17,0.714,874,0.86,FALSE,0.821,0.176,1.846,0.006,640,0.82,20
131557731,3,"Race IAT","congruent","SCIAT first","female",48,6,0.065,939,0.97,FALSE,0.897,0.184,2.167,-0.184,577,0.86,15
131774082,2,"Race IAT","incongruent","ratings first","male",50,3.17,0.509,867,0.98,FALSE,0.921,0.057,2.991,0.084,653,0.93,18
143128871,7,"Flowers-Insects IAT","congruent","SCIAT first","male",30,4,0.899,911,0.93,FALSE,0.973,0.053,3.546,-0.153,661,0.96,19
145596673,1,"Race IAT","congruent","ratings first","female",24,4,0.731,936,0.92,FALSE,0.825,0.147,1.984,0.057,590,0.84,23
147347378,2,"Race IAT","incongruent","ratings first","female",52,7,-0.641,1282,0.97,FALSE,0.848,0.088,2.382,0.161,708,0.88,14
147475444,4,"Race IAT","incongruent","SCIAT first","male",28,4,0.9,945,0.93,FALSE,0.897,0.006,3.765,0.615,651,0.95,13
148231489,1,"Race IAT","congruent","ratings first","female",28,7,0.453,697,0.94,FALSE,0.925,0.079,2.852,-0.014,565,0.92,20
150461530,2,"Race IAT","incongruent","ratings first","male",33,6,0.462,890,0.97,FALSE,0.972,0.031,3.777,-0.026,635,0.97,22
169236538,2,"Race IAT","incongruent","ratings first","male",37,4,-0.004,848,0.98,FALSE,0.947,0.028,3.534,0.147,658,0.96,11
172722031,7,"Flowers-Insects IAT","congruent","SCIAT first","female",46,5.17,0.841,684,0.82,FALSE,0.744,0.179,1.572,0.131,579,0.78,21
174790887,7,"Flowers-Insects IAT","congruent","SCIAT first","male",34,4,0.58,786,0.91,FALSE,0.949,0.006,4.13,0.433,630,0.97,20
176652930,2,"Race IAT","incongruent","ratings first","female ",45,4,1.03,941,0.94,FALSE,0.946,0.026,3.545,0.166,645,0.96,19
182940083,3,"Race IAT","congruent","SCIAT first","female",49,3.83,0.428,843,0.98,FALSE,0.917,0.006,3.881,0.557,676,0.96,16
190340449,1,"Race IAT","congruent","ratings first","female",28,4,-0.175,682,0.91,FALSE,0.925,0.111,2.66,-0.109,665,0.91,21
204542560,8,"Flowers-Insects IAT","incongruent","SCIAT first","male",42,4,0.625,678,0.93,FALSE,0.975,0.025,3.92,0,579,0.98,18
207614447,7,"Flowers-Insects IAT","congruent","SCIAT first","male",27,5,0.215,611,0.6,TRUE,0.946,0.079,3.019,-0.097,673,0.93,16
218817820,4,"Race IAT","incongruent","SCIAT first","female",38,4.83,0.812,701,0.96,FALSE,0.923,0.026,3.375,0.262,625,0.95,20
224925624,8,"Flowers-Insects IAT","incongruent","SCIAT first","male",23,4,0.77,692,0.98,FALSE,0.925,0.079,2.852,-0.014,579,0.92,17
