"participant","accuracy","rt","item","IAT_condition","block_order","task_order","gender","age","modern_racism_scale_total","amp_recognition_response","IAT_exclude_based_on_fast_trials","exclude"
905831587,1,1771,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,902,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,817,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,606,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,561,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,1636,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,2300,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,556,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,602,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,668,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,846,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,512,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,565,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,666,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,576,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,642,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,499,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,457,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,594,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,827,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,544,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,522,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,536,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,552,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,539,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,514,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,504,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,274,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,478,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,528,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,0,892,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,663,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,862,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,397,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,0,682,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,0,698,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,1411,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,0,500,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,0,765,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,0,551,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,1190,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,0,517,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,1071,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,572,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,565,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,0,561,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,0,817,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,0,786,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,788,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,0,550,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,974,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,644,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,0,540,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,893,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,457,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,583,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,604,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,0,462,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,0,442,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,582,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,647,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,588,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,0,458,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,686,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,698,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,0,610,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,682,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,566,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,584,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,548,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,0,470,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,0,406,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,594,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,628,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,619,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,0,519,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,502,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,0,650,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,0,415,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,762,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,711,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,585,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,0,755,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,429,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,0,413,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,0,291,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,492,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,0,433,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,0,1037,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,0,369,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,609,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,0,585,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,0,503,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,0,510,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,792,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,0,583,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,591,"primeNeutral","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,0,1458,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,0,349,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
905831587,1,823,"primeRace","Race IAT","congruent","SCIAT first","female",64,19,"Only black faces",FALSE,FALSE
767115399,0,652,"primeNeutral","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,0,815,"primeNeutral","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,0,868,"primeRace","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,0,590,"primeRace","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,1,812,"primeNeutral","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,0,633,"primeNeutral","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,0,741,"primeNeutral","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,0,533,"primeRace","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,0,564,"primeRace","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,0,532,"primeRace","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,0,539,"primeRace","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,1,947,"primeNeutral","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,0,827,"primeRace","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,0,672,"primeNeutral","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,0,578,"primeRace","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,1,448,"primeNeutral","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,0,420,"primeRace","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,1,712,"primeNeutral","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,1,473,"primeNeutral","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,1,972,"primeRace","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,0,594,"primeRace","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,0,560,"primeNeutral","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,1,495,"primeNeutral","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,0,681,"primeRace","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,1,827,"primeNeutral","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,1,1064,"primeNeutral","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,1,635,"primeNeutral","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,0,559,"primeNeutral","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,0,558,"primeNeutral","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,0,413,"primeNeutral","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,0,394,"primeNeutral","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
767115399,0,616,"primeRace","Flowers-Insects IAT","congruent","SCIAT first","male",20,19,"Both white and black faces",FALSE,FALSE
