"date","time","subject","blockcode","blocknum","trialcode","trialnum","values.primestim","values.targetstim","response","correct","latency","trial.primeRace.totalpercentcorrect","trial.primeNeutral.totalpercentcorrect"
"041318","17:10:42","905831587","AMP_practice","1","primeNeutralpractice","4","0","0","18","1","1824","0","0"
"041318","17:10:42","905831587","AMP_practice","1","primeRacepractice","5","0","0","18","1","1217","0","0"
"041318","17:10:42","905831587","AMP_practice","1","primeRacepractice","6","0","0","18","1","1023","0","0"
"041318","17:10:42","905831587","AMP_practice","1","primeNeutralpractice","7","0","0","18","1","990","0","0"
"041318","17:10:42","905831587","AMP_practice","1","primeNeutralpractice","8","0","0","18","1","2082","0","0"
"041318","17:10:42","905831587","AMP_practice","1","primeRacepractice","9","0","0","18","1","2675","0","0"
"041318","17:10:42","905831587","AMP_practice","1","primeNeutralpractice","10","0","0","18","1","1309","0","0"
"041318","17:10:42","905831587","AMP_practice","1","primeRacepractice","11","0","0","18","1","862","0","0"
"041318","17:10:42","905831587","AMP_practice","1","primeNeutralpractice","12","0","0","18","1","2127","0","0"
"041318","17:10:42","905831587","AMP_practice","1","primeRacepractice","13","0","0","18","1","936","0","0"
"041318","17:10:42","905831587","AMP_test","2","primeRace","2","3","10","23","1","1771","100","0"
"041318","17:10:42","905831587","AMP_test","2","primeNeutral","3","1","3","23","1","902","100","100"
"041318","17:10:42","905831587","AMP_test","2","primeRace","4","5","15","23","1","817","100","100"
"041318","17:10:42","905831587","AMP_test","2","primeNeutral","5","1","5","23","1","606","100","100"
"041318","17:10:42","905831587","AMP_test","2","primeNeutral","6","1","4","23","1","561","100","100"
"041318","17:10:42","905831587","AMP_test","2","primeRace","7","6","9","23","1","1636","100","100"
"041318","17:10:42","905831587","AMP_test","2","primeRace","8","4","1","23","1","2300","100","100"
"041318","17:10:42","905831587","AMP_test","2","primeRace","9","3","7","23","1","556","100","100"
"041318","17:10:42","905831587","AMP_test","2","primeNeutral","10","1","18","23","1","602","100","100"
"041318","17:10:42","905831587","AMP_test","2","primeRace","11","2","13","23","1","668","100","100"
"041318","17:10:42","905831587","AMP_test","2","primeRace","12","1","1","23","1","846","100","100"
"041318","17:10:42","905831587","AMP_test","2","primeRace","13","1","6","23","1","512","100","100"
"041318","17:10:42","905831587","AMP_test","2","primeRace","14","2","14","23","1","565","100","100"
"041318","17:10:42","905831587","AMP_test","2","primeRace","15","3","2","23","1","666","100","100"
"041318","17:10:42","905831587","AMP_test","2","primeRace","16","4","11","23","1","576","100","100"
"041318","17:10:42","905831587","AMP_test","2","primeRace","17","5","9","23","1","642","100","100"
"041318","17:10:42","905831587","AMP_test","2","primeNeutral","18","1","5","23","1","499","100","100"
"041318","17:10:42","905831587","AMP_test","2","primeNeutral","19","1","15","23","1","457","100","100"
"041318","17:10:42","905831587","AMP_test","2","primeNeutral","20","1","13","23","1","594","100","100"
"041318","17:10:42","905831587","AMP_test","2","primeRace","21","6","16","23","1","827","100","100"
"041318","17:10:42","905831587","AMP_test","2","primeRace","22","6","18","23","1","544","100","100"
"041318","17:10:42","905831587","AMP_test","2","primeRace","23","1","17","23","1","522","100","100"
"041318","17:10:42","905831587","AMP_test","2","primeNeutral","24","1","7","23","1","536","100","100"
"041318","17:10:42","905831587","AMP_test","2","primeNeutral","25","1","4","23","1","552","100","100"
"041318","17:10:42","905831587","AMP_test","2","primeNeutral","26","1","20","23","1","539","100","100"
"041318","17:10:42","905831587","AMP_test","2","primeNeutral","27","1","3","23","1","514","100","100"
"041318","17:10:42","905831587","AMP_test","2","primeRace","28","2","10","23","1","504","100","100"
"041318","17:10:42","905831587","AMP_test","2","primeNeutral","29","1","19","23","1","274","100","100"
