"build","date","time","subject","blockcode","blocknum","trialcode","trialnum","stimulusitem1","response"
"4.0.10.0","041318","17:43:18","867752673","ratings","1","images","1","bm23_nc.jpg","Ctrl+'B'"
"4.0.10.0","041318","17:14:54","905831587","ratings","1","images","1","bf23_nc.jpg","3"
"4.0.10.0","041318","17:14:54","905831587","ratings","1","images","2","bf56_nc.jpg","2"
"4.0.10.0","041318","17:14:54","905831587","ratings","1","images","3","bf14_nc.jpg","4"
"4.0.10.0","041318","17:14:54","905831587","ratings","1","images","4","bm56_nc.jpg","3"
"4.0.10.0","041318","17:14:54","905831587","ratings","1","images","5","bm23_nc.jpg","2"
"4.0.10.0","041318","17:14:54","905831587","ratings","1","images","6","bm14_nc.jpg","2"
"4.0.10.0","041318","17:29:14","767115399","ratings","1","images","1","bf14_nc.jpg","4"
"4.0.10.0","041318","17:29:14","767115399","ratings","1","images","2","bm56_nc.jpg","4"
"4.0.10.0","041318","17:29:14","767115399","ratings","1","images","3","bm23_nc.jpg","4"
"4.0.10.0","041318","17:29:14","767115399","ratings","1","images","4","bf56_nc.jpg","4"
"4.0.10.0","041318","17:29:14","767115399","ratings","1","images","5","bf23_nc.jpg","5"
"4.0.10.0","041318","17:29:14","767115399","ratings","1","images","6","bm14_nc.jpg","4"
"4.0.10.0","041318","17:34:54","830748203","ratings","1","images","1","bm56_nc.jpg","5"
"4.0.10.0","041318","17:34:54","830748203","ratings","1","images","2","bf56_nc.jpg","5"
"4.0.10.0","041318","17:34:54","830748203","ratings","1","images","3","bm23_nc.jpg","5"
"4.0.10.0","041318","17:34:54","830748203","ratings","1","images","4","bf14_nc.jpg","5"
"4.0.10.0","041318","17:34:54","830748203","ratings","1","images","5","bf23_nc.jpg","5"
"4.0.10.0","041318","17:34:54","830748203","ratings","1","images","6","bm14_nc.jpg","5"
"4.0.10.0","041318","12:56:59","755961286","ratings","1","images","1","bf23_nc.jpg","6"
"4.0.10.0","041318","12:56:59","755961286","ratings","1","images","2","bf56_nc.jpg","6"
